
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
4.700000	6378134.478731	0.423317	-0.007854	69.657153	1.012291	4.712389	2699915.966631	-50092.694857	134.478731
4.800000	6378140.385992	0.423316	-0.007854	71.184028	1.012291	4.712389	2699912.275329	-50092.694857	140.385992
4.900000	6378146.422740	0.423316	-0.007854	72.712716	1.012291	4.712389	2699908.503117	-50092.694856	146.422740
5.000000	6378152.589128	0.423315	-0.007854	74.243215	1.012291	4.712389	2699904.649899	-50092.694856	152.589128
5.100000	6378158.885310	0.423315	-0.007854	75.775522	1.012291	4.712389	2699900.715581	-50092.694856	158.885310
5.200000	6378165.311439	0.423314	-0.007854	77.309632	1.012291	4.712389	2699896.700066	-50092.694855	165.311439
5.300000	6378171.867667	0.423313	-0.007854	78.845453	1.012291	4.712389	2699892.603260	-50092.694855	171.867667
5.400000	6378178.554141	0.423313	-0.007854	80.383071	1.012291	4.712389	2699888.425071	-50092.694854	178.554141
5.500000	6378185.371012	0.423312	-0.007854	81.922483	1.012291	4.712389	2699884.165405	-50092.694853	185.371012
5.600000	6378192.318432	0.423311	-0.007854	83.463686	1.012291	4.712389	2699879.824167	-50092.694853	192.318432
5.700000	6378199.396554	0.423311	-0.007854	85.006677	1.012291	4.712389	2699875.401263	-50092.694852	199.396554
5.800000	6378206.605530	0.423310	-0.007854	86.551452	1.012291	4.712389	2699870.896597	-50092.694851	206.605530
5.900000	6378213.945509	0.423309	-0.007854	88.098009	1.012291	4.712389	2699866.310076	-50092.694851	213.945509
6.000000	6378221.416644	0.423309	-0.007854	89.646343	1.012291	4.712389	2699861.641605	-50092.694850	221.416644
6.100000	6378229.019085	0.423308	-0.007854	91.196452	1.012291	4.712389	2699856.891091	-50092.694849	229.019085
6.200000	6378236.752983	0.423307	-0.007854	92.748333	1.012291	4.712389	2699852.058440	-50092.694848	236.752983
6.300000	6378244.618487	0.423306	-0.007854	94.301982	1.012291	4.712389	2699847.143558	-50092.694847	244.618487
6.400000	6378252.615749	0.423305	-0.007854	95.857396	1.012291	4.712389	2699842.146352	-50092.694846	252.615749
6.500000	6378260.744917	0.423305	-0.007854	97.414573	1.012291	4.712389	2699837.066728	-50092.694845	260.744917
6.600000	6378269.006141	0.423304	-0.007854	98.973509	1.012291	4.712389	2699831.904594	-50092.694844	269.006141
6.700000	6378277.399571	0.423303	-0.007854	100.534200	1.012291	4.712389	2699826.659857	-50092.694843	277.399571
6.800000	6378285.925355	0.423302	-0.007854	102.096645	1.012291	4.712389	2699821.332423	-50092.694842	285.925355
6.900000	6378294.583641	0.423301	-0.007854	103.660839	1.012291	4.712389	2699815.922201	-50092.694841	294.583641
7.000000	6378303.374579	0.423300	-0.007854	105.226781	1.012291	4.712389	2699810.429098	-50092.694840	303.374579
7.100000	6378312.298316	0.423300	-0.007854	106.794466	1.012291	4.712389	2699804.853021	-50092.694838	312.298316
7.200000	6378321.355000	0.423299	-0.007854	108.363892	1.012291	4.712389	2699799.193879	-50092.694837	321.355000
7.300000	6378330.544780	0.423298	-0.007854	109.935056	1.012291	4.712389	2699793.451580	-50092.694836	330.544780
7.400000	6378339.867801	0.423297	-0.007854	111.507955	1.012291	4.712389	2699787.626032	-50092.694834	339.867801
7.500000	6378349.324212	0.423296	-0.007854	113.082586	1.012291	4.712389	2699781.717143	-50092.694833	349.324212
7.600000	6378358.914159	0.423295	-0.007854	114.658947	1.012291	4.712389	2699775.724823	-50092.694831	358.914159
7.700000	6378368.637789	0.423294	-0.007854	116.237034	1.012291	4.712389	2699769.648979	-50092.694829	368.637789
7.800000	6378378.495249	0.423293	-0.007854	117.816845	1.012291	4.712389	2699763.489520	-50092.694828	378.495249
7.900000	6378388.486684	0.423292	-0.007854	119.398376	1.012291	4.712389	2699757.246357	-50092.694826	388.486684
8.000000	6378398.612241	0.423291	-0.007854	120.981626	1.012291	4.712389	2699750.919397	-50092.694824	398.612241
