
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
1003.600000	6398000.000000	0.037765	0.017453	240.000000	0.000000	0.000000	240864.000000	111317.099692	20000.000000
1003.700000	6398000.000000	0.037769	0.017453	240.000000	0.000000	0.000000	240888.000000	111317.099692	20000.000000
1003.800000	6398000.000000	0.037772	0.017453	240.000000	0.000000	0.000000	240912.000000	111317.099692	20000.000000
1003.900000	6398000.000000	0.037776	0.017453	240.000000	0.000000	0.000000	240936.000000	111317.099692	20000.000000
1004.000000	6398000.000000	0.037780	0.017453	240.000000	0.000000	0.000000	240960.000000	111317.099692	20000.000000
1004.100000	6398000.000000	0.037784	0.017453	240.000000	0.000000	0.000000	240984.000000	111317.099692	20000.000000
1004.200000	6398000.000000	0.037787	0.017453	240.000000	0.000000	0.000000	241008.000000	111317.099692	20000.000000
1004.300000	6398000.000000	0.037791	0.017453	240.000000	0.000000	0.000000	241032.000000	111317.099692	20000.000000
1004.400000	6398000.000000	0.037795	0.017453	240.000000	0.000000	0.000000	241056.000000	111317.099692	20000.000000
1004.500000	6398000.000000	0.037799	0.017453	240.000000	0.000000	0.000000	241080.000000	111317.099692	20000.000000
1004.600000	6398000.000000	0.037802	0.017453	240.000000	0.000000	0.000000	241104.000000	111317.099692	20000.000000
1004.700000	6398000.000000	0.037806	0.017453	240.000000	0.000000	0.000000	241128.000000	111317.099692	20000.000000
1004.800000	6398000.000000	0.037810	0.017453	240.000000	0.000000	0.000000	241152.000000	111317.099692	20000.000000
1004.900000	6398000.000000	0.037814	0.017453	240.000000	0.000000	0.000000	241176.000000	111317.099692	20000.000000
1005.000000	6398000.000000	0.037817	0.017453	240.000000	0.000000	0.000000	241200.000000	111317.099692	20000.000000
1005.100000	6398000.000000	0.037821	0.017453	240.000000	0.000000	0.000000	241224.000000	111317.099692	20000.000000
