
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
310.600000	6431947.852867	0.194995	0.017082	5263.439310	-0.041576	1.574686	1243678.110000	108948.996000	53947.852867
310.700000	6431925.975697	0.195077	0.017082	5263.453435	-0.041651	1.574688	1244201.106000	108948.996000	53925.975697
310.800000	6431904.059409	0.195159	0.017081	5263.467546	-0.041725	1.574690	1244724.102000	108942.618000	53904.059409
310.900000	6431882.104026	0.195240	0.017081	5263.481643	-0.041799	1.574691	1245240.720000	108942.618000	53882.104026
311.000000	6431860.109566	0.195322	0.017081	5263.495726	-0.041873	1.574693	1245763.716000	108942.618000	53860.109566
311.100000	6431838.076051	0.195404	0.017080	5263.509794	-0.041947	1.574695	1246286.712000	108936.240000	53838.076051
311.200000	6431816.003501	0.195486	0.017080	5263.523847	-0.042021	1.574696	1246809.708000	108936.240000	53816.003501
311.300000	6431793.891936	0.195567	0.017080	5263.537884	-0.042095	1.574698	1247326.326000	108936.240000	53793.891936
311.400000	6431771.741377	0.195649	0.017080	5263.551905	-0.042169	1.574700	1247849.322000	108936.240000	53771.741377
311.500000	6431749.551846	0.195731	0.017079	5263.565909	-0.042243	1.574701	1248372.318000	108929.862000	53749.551846
311.600000	6431727.323363	0.195813	0.017079	5263.579896	-0.042317	1.574703	1248895.314000	108929.862000	53727.323363
311.700000	6431705.055948	0.195894	0.017079	5263.593866	-0.042391	1.574705	1249411.932000	108929.862000	53705.055948
311.800000	6431682.749624	0.195976	0.017078	5263.607817	-0.042465	1.574706	1249934.928000	108923.484000	53682.749624
311.900000	6431660.404411	0.196058	0.017078	5263.621750	-0.042539	1.574708	1250457.924000	108923.484000	53660.404411
312.000000	6431638.020331	0.196140	0.017078	5263.635663	-0.042613	1.574710	1250980.920000	108923.484000	53638.020331
312.100000	6431615.597406	0.196222	0.017077	5263.649557	-0.042686	1.574711	1251503.916000	108917.106000	53615.597406
312.200000	6431593.135656	0.196303	0.017077	5263.663431	-0.042760	1.574713	1252020.534000	108917.106000	53593.135656
312.300000	6431570.635104	0.196385	0.017077	5263.677284	-0.042834	1.574714	1252543.530000	108917.106000	53570.635104
312.400000	6431548.095772	0.196467	0.017076	5263.691116	-0.042907	1.574716	1253066.526000	108910.728000	53548.095772
312.500000	6431525.517681	0.196549	0.017076	5263.704926	-0.042981	1.574718	1253589.522000	108910.728000	53525.517681
312.600000	6431502.900853	0.196630	0.017076	5263.718714	-0.043054	1.574719	1254106.140000	108910.728000	53502.900853
312.700000	6431480.245311	0.196712	0.017075	5263.732479	-0.043128	1.574721	1254629.136000	108904.350000	53480.245311
312.800000	6431457.551077	0.196794	0.017075	5263.746221	-0.043201	1.574723	1255152.132000	108904.350000	53457.551077
312.900000	6431434.818173	0.196876	0.017075	5263.759940	-0.043275	1.574724	1255675.128000	108904.350000	53434.818173
313.000000	6431412.046622	0.196958	0.017074	5263.773634	-0.043348	1.574726	1256198.124000	108897.972000	53412.046622
313.100000	6431389.236446	0.197039	0.017074	5263.787303	-0.043421	1.574728	1256714.742000	108897.972000	53389.236446
313.200000	6431366.387669	0.197121	0.017074	5263.800948	-0.043494	1.574729	1257237.738000	108897.972000	53366.387669
313.300000	6431343.500312	0.197203	0.017073	5263.814566	-0.043568	1.574731	1257760.734000	108891.594000	53343.500312
313.400000	6431320.574400	0.197285	0.017073	5263.828158	-0.043641	1.574733	1258283.730000	108891.594000	53320.574400
313.500000	6431297.609955	0.197366	0.017073	5263.841723	-0.043714	1.574734	1258800.348000	108891.594000	53297.609955
313.600000	6431274.607000	0.197448	0.017072	5263.855260	-0.043787	1.574736	1259323.344000	108885.216000	53274.607000
313.700000	6431251.565558	0.197530	0.017072	5263.868770	-0.043860	1.574738	1259846.340000	108885.216000	53251.565558
313.800000	6431228.485654	0.197612	0.017072	5263.882251	-0.043933	1.574739	1260369.336000	108885.216000	53228.485654
313.900000	6431205.367310	0.197694	0.017072	5263.895702	-0.044006	1.574741	1260892.332000	108885.216000	53205.367310
314.000000	6431182.210551	0.197775	0.017071	5263.909125	-0.044079	1.574743	1261408.950000	108878.838000	53182.210551
314.100000	6431159.015400	0.197857	0.017071	5263.922517	-0.044152	1.574744	1261931.946000	108878.838000	53159.015400
314.200000	6431135.781882	0.197939	0.017071	5263.935878	-0.044224	1.574746	1262454.942000	108878.838000	53135.781882
314.300000	6431112.510019	0.198021	0.017070	5263.949208	-0.044297	1.574748	1262977.938000	108872.460000	53112.510019
314.400000	6431089.199837	0.198103	0.017070	5263.962506	-0.044370	1.574749	1263500.934000	108872.460000	53089.199837
314.500000	6431065.851360	0.198184	0.017070	5263.975772	-0.044443	1.574751	1264017.552000	108872.460000	53065.851360
314.600000	6431042.464612	0.198266	0.017069	5263.989004	-0.044515	1.574752	1264540.548000	108866.082000	53042.464612
